Region;Profession ID;Professio;2016;2017;2018;2019;Growth;Growth 
Northland;832;Packers and Product Assemblers;327;326;326;324;-3;-0.3
Northland;839;Miscellaneous Factory Process Workers;324;327;328;328;5;0.5
Northland;841;Farm, Forestry and Garden Workers;2825;2842;2873;2881;56;0.7
Northland;851;Food Preparation Assistants;448;446;448;448;0;0.0
Northland;891;Freight Handlers and Shelf Fillers;273;275;278;280;7;0.9
Northland;899;Miscellaneous Labourers;2086;2119;2148;2163;77;1.2
Auckland;111;Chief Executives, General Managers and Legislators;37459;3848;39616;40646;3,187;2.8
Auckland;121;Farmers and Farm Managers;5062;4971;4893;4773;-290;-1.9
Auckland;131;Advertising, Public Relations and Sales Managers;2277;23785;24904;25975;3,205;4.5
Auckland;132;Business Administration Managers;29681;30875;32178;33421;3,74;4.0
Auckland;133;Construction, Distribution and Production Managers;19085;19582;19981;20258;1,173;2.0
Auckland;134;Education, Health and Welfare Services Managers;4928;5159;5389;5604;676;4.4
Auckland;135;ICT Managers;3931;412;4328;4531;601;4.9
Auckland;139;Miscellaneous Specialist Managers;436;4551;4751;4938;577;4.2
Auckland;141;Accommodation and Hospitality Managers;8197;8437;874;9019;822;3.2
Auckland;142;Retail Managers;13718;14003;14406;14775;1,057;2.5
Auckland;149;Miscellaneous Hospitality, Retail and Service Managers;8949;9299;9691;10065;1,117;4.0
Auckland;211;Arts Professionals;381;399;411;4219;409;3.5
Auckland;212;Media Professionals;6503;6696;6928;7148;645;3.2
Auckland;221;Accountants, Auditors and Company Secretaries;16282;1679;17348;17877;1,595;3.2
Auckland;222;Financial Brokers and Dealers, and Investment Advisers;4776;4801;4845;4874;98;0.7
Auckland;223;Human Resource and Training Professionals;5747;5874;6016;6146;399;2.3
Auckland;224;Information and Organisation Professionals;13367;1375;14175;14576;1,209;2.9
Auckland;225;Sales, Marketing and Public Relations Professionals;12363;12769;13226;13658;1,295;3.4
Auckland;231;Air and Marine Transport Professionals;2624;2645;267;2685;60;0.8
Auckland;232;Architects, Designers, Planners and Surveyors;12026;12493;12997;13483;1,456;3.9
Auckland;233;Engineering Professionals;10421;10793;11153;11475;1,054;3.3
Auckland;234;Natural and Physical Science Professionals;4157;4295;4448;4608;451;3.5
Auckland;241;School Teachers;31307;32152;32998;3368;2,373;2.5
Auckland;242;Tertiary Education Teachers;6241;6274;6293;6268;27;0.1
Auckland;249;Miscellaneous Education Professionals;3949;4028;4102;415;201;1.7
Auckland;251;Health Diagnostic and Promotion Professionals;4141;4333;4562;4818;676;5.2
Auckland;252;Health Therapy Professionals;4473;4646;4863;5129;657;4.7
Auckland;253;Medical Practitioners;567;5892;6172;6514;844;4.7
Auckland;254;Midwifery and Nursing Professionals;13714;14122;14669;15379;1,665;3.9
Auckland;261;Business and Systems Analysts, and Programmers;18268;19122;20053;20966;2,698;4.7
Auckland;262;Database and Systems Administrators, and ICT Security Specialists;2671;2748;2834;2915;244;3.0
Auckland;263;ICT Network and Support Professionals;3406;3566;3744;3919;512;4.8
Auckland;271;Legal Professionals;7824;8143;8485;8813;989;4.0
Auckland;272;Social and Welfare Professionals;11543;11916;12338;12774;1,231;3.4
Auckland;311;Agricultural, Medical and Science Technicians;4007;4058;4121;4184;178;1.5
Auckland;312;Building and Engineering Technicians;7334;7559;7773;7959;624;2.8
Auckland;313;ICT and Telecommunications Technicians;4188;4191;4209;4216;28;0.2
Auckland;321;Automotive Electricians and Mechanics;5426;5365;5331;5277;-149;-0.9
Auckland;322;Fabrication Engineering Trades Workers;3865;3981;4087;4152;287;2.4
Auckland;323;Mechanical Engineering Trades Workers;6055;603;5991;592;-135;-0.8
Auckland;324;Panelbeaters, and Vehicle Body Builders, Trimmers and Painters;1618;1601;1574;1536;-82;-1.7
Auckland;331;Bricklayers, Carpenters and Joiners;4337;4409;4438;4432;96;0.7
Auckland;332;Floor Finishers and Painting Trades Workers;3063;3241;3393;3525;462;4.8
Auckland;333;Glaziers, Plasterers and Tilers;3103;3335;3544;3734;631;6.4
Auckland;334;Plumbers;3266;3486;3676;3846;580;5.6
Auckland;341;Electricians;572;6076;6396;6682;962;5.3
Auckland;342;Electronics and Telecommunications Trades Workers;3531;3633;3719;3784;253;2.3
Auckland;351;Food Trades Workers;15153;1578;16535;17262;2,11;4.4
Auckland;361;Animal Attendants and Trainers, and Shearers;1484;1532;159;1642;159;3.4
Auckland;362;Horticultural Trades Workers;5032;5085;5136;5177;145;1.0
Auckland;391;Hairdressers;2922;2953;3009;3049;127;1.4
Auckland;392;Printing Trades Workers;1814;1721;1598;1465;-349;-6.9
Auckland;393;Textile, Clothing and Footwear Trades Workers;113;1132;1137;1136;7;0.2
Auckland;394;Wood Trades Workers;1638;163;162;1602;-35;-0.7
Auckland;399;Miscellaneous Technicians and Trades Workers;524;537;5519;5659;420;2.6
Auckland;411;Health and Welfare Support Workers;6184;6449;676;7116;932;4.8
Auckland;421;Child Carers;3233;3318;3393;3455;222;2.2
Auckland;422;Education Aides;4297;435;4391;4401;105;0.8
Auckland;423;Personal Carers and Assistants;10972;11149;11418;11787;815;2.4
Auckland;431;Hospitality Workers;18432;18878;19462;19984;1,552;2.7
