region;interest_area;type;year_2006;year_2013
Wellington;Female;80-84 Years;4536;4815
Wellington;Female;85 Years And Over;4059;4854
Canterbury;Male;0-4 Years;1641;17124
Canterbury;Male;5-9 Years;17181;17016
Canterbury;Male;10-14 Years;18654;17223
Canterbury;Male;15-19 Years;19389;18972
Canterbury;Male;20-24 Years;17847;19548
Canterbury;Male;25-29 Years;1473;16203
Canterbury;Male;30-34 Years;16746;15228
Canterbury;Male;35-39 Years;1893;16341
Canterbury;Male;40-44 Years;19509;19143
Canterbury;Male;45-49 Years;18981;19164
Canterbury;Male;50-54 Years;16794;19584
Canterbury;Male;55-59 Years;15921;17136
Canterbury;Male;60-64 Years;11961;15516
Canterbury;Male;65-69 Years;975;12762
Canterbury;Male;70-74 Years;7884;9636
Canterbury;Male;75-79 Years;6861;6744
Canterbury;Male;80-84 Years;4464;5154
Canterbury;Male;85 Years And Over;2667;3864
Canterbury;Female;0-4 Years;1605;16383
Canterbury;Female;5-9 Years;16506;16311
Canterbury;Female;10-14 Years;17685;16635
Canterbury;Female;15-19 Years;18159;16995
Canterbury;Female;20-24 Years;17028;17364
Canterbury;Female;25-29 Years;15285;15558
Canterbury;Female;30-34 Years;18603;15981
Canterbury;Female;35-39 Years;20391;17517
Canterbury;Female;40-44 Years;20871;20694
Canterbury;Female;45-49 Years;19671;20244
Canterbury;Female;50-54 Years;17295;20193
Canterbury;Female;55-59 Years;1638;17571
Canterbury;Female;60-64 Years;12225;15951
Canterbury;Female;65-69 Years;10665;13425
Canterbury;Female;70-74 Years;8856;1056
Canterbury;Female;75-79 Years;855;8007
Canterbury;Female;80-84 Years;6828;6726
Canterbury;Female;85 Years And Over;6096;6966
Auckland;Communication;No Access to Telecommunication Systems;7494;6153
Auckland;Communication;Access to a Cellphone/Mobile Phone;314412;374853
Auckland;Communication;Access to a Telephone;380832;381021
Auckland;Communication;Access to a Fax Machine;11904;67629
Auckland;Communication;Access to the Internet;269589;36036
Wellington;Communication;No Access to Telecommunication Systems;2628;219
Wellington;Communication;Access to a Cellphone/Mobile Phone;123039;143778
Wellington;Communication;Access to a Telephone;150186;143181
Wellington;Communication;Access to a Fax Machine;3399;19623
Wellington;Communication;Access to the Internet;105549;136011
Canterbury;Communication;No Access to Telecommunication Systems;2664;2334
Canterbury;Communication;Access to a Cellphone/Mobile Phone;142947;166053
Canterbury;Communication;Access to a Telephone;183507;174459
Canterbury;Communication;Access to a Fax Machine;48963;29925
Canterbury;Communication;Access to the Internet;119355;153993
Auckland;Languages Spoken;English;1147641;1233633
Auckland;Languages Spoken;Maori;33246;30924
Auckland;Languages Spoken;Samoan;57831;58197
Auckland;Languages Spoken;Hindi;34623;49521
Auckland;Languages Spoken;Northern Chinese;30576;38781
Auckland;Languages Spoken;French;18513;17433
Auckland;Languages Spoken;Yue;30282;30681
Auckland;Languages Spoken;Sinitic not further defined;25422;30282
Auckland;Languages Spoken;German;12264;11886
Auckland;Languages Spoken;Tongan;24855;26031
Auckland;Languages Spoken;Tagalog;7509;14925
Auckland;Languages Spoken;Afrikaans;11424;13992
Auckland;Languages Spoken;Spanish;8421;10605
Auckland;Languages Spoken;Korean;1881;19362
Auckland;Languages Spoken;New Zealand sign language;6786;5259
Wellington;Languages Spoken;English;415848;430104
Wellington;Languages Spoken;Maori;15702;15618
Wellington;Languages Spoken;Samoan;14514;14691
Wellington;Languages Spoken;Hindi;3615;5265
Wellington;Languages Spoken;Northern Chinese;2871;3822
Wellington;Languages Spoken;French;9735;8943
Wellington;Languages Spoken;Yue;4893;4923
Wellington;Languages Spoken;Sinitic not further defined;2871;2916
Wellington;Languages Spoken;German;591;5958
Wellington;Languages Spoken;Tongan;1164;1134
Wellington;Languages Spoken;Tagalog;1806;3744
Wellington;Languages Spoken;Afrikaans;1755;2577
Wellington;Languages Spoken;Spanish;3186;4179
Wellington;Languages Spoken;Korean;723;831
Canterbury;Languages Spoken;New Zealand sign language;2565;3504
Canterbury;Languages Spoken;English;48939;49884
Canterbury;Languages Spoken;Maori;87;8643
