region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Southland;Wood and paper products manufacturing;579;563;544;525;-54;-3.2
Southland;Printing, publishing and recorded media;86;86;86;86;0;0.1
Southland;Chemicals manufacturing;178;186;194;200;22;4.0
Southland;Non-metallic mineral products manufacturing;144;137;129;123;-21;-5.1
Southland;Metal product manufacturing;1384;1395;1403;1395;11;0.3
Southland;Machinery and equipment manufacturing;640;649;653;655;15;0.8
Southland;Furniture and other manufacturing;95;97;98;99;4;1.5
Southland;Electricity, gas and water supply;243;247;251;254;11;1.5
Southland;Construction;4024;4276;4471;4632;608;4.8
Southland;Wholesale trade;1938;199;2045;2095;157;2.6
Southland;Retail trade (including motor vehicle repairs);498;5051;517;5282;302;2.0
Southland;Accommodation, cafes and restaurants;2942;3001;3082;3151;208;2.3
Southland;Transport and storage;2165;2214;2278;2332;168;2.5
Southland;Communication services;430;432;438;444;13;1.0
Southland;Finance and insurance;894;889;888;886;-8;-0.3
Southland;Property services;858;867;885;902;45;1.7
Southland;Business services;2963;2947;2935;2918;-45;-0.5
Southland;Government admin. and defence;1945;1935;1913;1885;-60;-1.0
Southland;Education;3319;3353;3378;3376;57;0.6
Southland;Health and community services;4137;4198;4298;4449;312;2.5
Southland;Cultural and recreational services;1128;1156;1189;1216;88;2.5
Southland;Personal and other community services;1858;1887;1934;197;112;2.0
New Zealand;Agriculture;153456;155528;158048;159118;5661;1.2
New Zealand;Fishing;4343;4656;5033;5461;1118;7.9
New Zealand;Forestry and logging;5849;5875;6012;6105;256;1.4
New Zealand;Mining and quarrying;6937;7049;7201;7174;237;1.1
New Zealand;Food, beverage and tobacco manufacturing;82259;83222;84495;85669;3409;1.4
New Zealand;Textiles and apparel manufacturing;11597;11722;11859;11886;289;0.8
New Zealand;Wood and paper products manufacturing;22066;22204;22263;2228;213;0.3
New Zealand;Printing, publishing and recorded media;9546;9657;9735;9776;230;0.8
New Zealand;Chemicals manufacturing;20315;20589;2083;20875;560;0.9
New Zealand;Non-metallic mineral products manufacturing;8543;8758;8955;9245;703;2.7
New Zealand;Metal product manufacturing;29566;30045;30451;30484;918;1.0
New Zealand;Machinery and equipment manufacturing;43241;4402;44416;44646;1404;1.1
New Zealand;Furniture and other manufacturing;9562;9596;9612;9573;12;0.0
New Zealand;Electricity, gas and water supply;14849;15009;15116;15119;271;0.6
New Zealand;Construction;194609;206675;215975;223595;28986;4.7
New Zealand;Wholesale trade;115368;116718;118293;119462;4094;1.2
New Zealand;Retail trade (including motor vehicle repairs);218106;221639;227224;232569;14464;2.2
New Zealand;Accommodation, cafes and restaurants;155957;159887;165067;16963;13673;2.8
New Zealand;Transport and storage;94699;96574;99008;101036;6336;2.2
New Zealand;Communication services;43403;43989;45018;4606;2657;2.0
New Zealand;Finance and insurance;64236;65392;66863;6828;4044;2.1
New Zealand;Property services;50768;51544;52797;54088;332;2.1
New Zealand;Business services;294471;299241;304628;309678;15207;1.7
New Zealand;Government admin. and defence;143544;14574;146913;14753;3987;0.9
New Zealand;Education;185751;18876;191308;192381;663;1.2
New Zealand;Health and community services;200594;205649;212682;22241;21816;3.5
New Zealand;Cultural and recreational services;55296;55741;56694;57312;2017;1.2
New Zealand;Personal and other community services;82939;84507;86865;88711;5772;2.3
