region;industry_name;year_2016;year_2017;year_2018;year_2019;growth;growth_percentage
Waikato;Retail trade (including motor vehicle repairs);17004;17252;17661;1805;1046;2.0
Waikato;Accommodation, cafes and restaurants;10622;10931;11328;11685;1063;3.2
Waikato;Transport and storage;5605;5675;5778;5856;252;1.5
Waikato;Communication services;1699;1688;1694;1698;-1;0.0
Waikato;Finance and insurance;2809;2799;2801;2798;-10;-0.1
Waikato;Property services;3766;3834;3939;4047;282;2.4
Waikato;Business services;19693;20085;20526;20947;1254;2.1
Waikato;Government admin. and defence;9483;9662;9787;988;397;1.4
Waikato;Education;16002;16385;16731;16951;949;1.9
Waikato;Health and community services;17371;17936;18685;19681;231;4.3
Waikato;Cultural and recreational services;4353;4392;4472;4526;173;1.3
Waikato;Personal and other community services;6541;662;6759;6856;315;1.6
Bay of Plenty;Agriculture;16303;16566;16878;17037;734;1.5
Bay of Plenty;Fishing;278;296;317;342;64;7.2
Bay of Plenty;Forestry and logging;1232;1225;1241;1261;29;0.8
Bay of Plenty;Mining and quarrying;518;510;504;486;-32;-2.1
Bay of Plenty;Food, beverage and tobacco manufacturing;3978;3982;3999;401;31;0.3
Bay of Plenty;Textiles and apparel manufacturing;420;433;446;456;36;2.7
Bay of Plenty;Wood and paper products manufacturing;3864;3915;3939;3954;91;0.8
Bay of Plenty;Printing, publishing and recorded media;302;311;319;326;24;2.6
Bay of Plenty;Chemicals manufacturing;116;1187;1212;1227;67;1.9
Bay of Plenty;Non-metallic mineral products manufacturing;432;438;444;454;22;1.7
Bay of Plenty;Metal product manufacturing;1633;1645;1653;1641;8;0.2
Bay of Plenty;Machinery and equipment manufacturing;2927;2994;3045;3084;157;1.8
Bay of Plenty;Furniture and other manufacturing;425;415;405;392;-33;-2.6
Bay of Plenty;Electricity, gas and water supply;121;1242;1271;1292;82;2.2
Bay of Plenty;Construction;13133;13677;14007;142;1067;2.6
Bay of Plenty;Wholesale trade;6;6097;6207;6297;297;1.6
Bay of Plenty;Retail trade (including motor vehicle repairs);15266;15317;15502;15662;395;0.9
Bay of Plenty;Accommodation, cafes and restaurants;11195;11399;11687;11927;731;2.1
Bay of Plenty;Transport and storage;7132;7348;7576;7774;642;2.9
Bay of Plenty;Communication services;1097;107;1052;1033;-64;-2.0
Bay of Plenty;Finance and insurance;2495;2481;2475;2466;-30;-0.4
Bay of Plenty;Property services;354;3557;3607;3657;117;1.1
Bay of Plenty;Business services;14304;14483;14695;14889;586;1.3
Bay of Plenty;Government admin. and defence;10789;10635;10413;10151;-638;-2.0
Bay of Plenty;Education;12648;12861;13043;13125;477;1.2
Bay of Plenty;Health and community services;15185;15621;16212;17013;1828;3.9
Bay of Plenty;Cultural and recreational services;39;3923;3983;4018;118;1.0
Bay of Plenty;Personal and other community services;641;6567;6786;6966;556;2.8
Gisborne;Agriculture;3705;3661;3625;3553;-151;-1.4
Gisborne;Fishing;99;109;120;125;26;8.1
Gisborne;Forestry and logging;442;459;486;450;8;0.6
Gisborne;Mining and quarrying;22;20;18;15;-6;-11.0
Gisborne;Food, beverage and tobacco manufacturing;1109;1125;1144;1162;53;1.6
Gisborne;Textiles and apparel manufacturing;127;132;137;140;13;3.3
Gisborne;Wood and paper products manufacturing;331;326;320;314;-17;-1.7
Gisborne;Printing, publishing and recorded media;90;96;102;108;18;6.4
Gisborne;Chemicals manufacturing;147;162;177;192;45;9.3
Gisborne;Metal product manufacturing;137;143;149;153;16;3.8
Gisborne;Machinery and equipment manufacturing;121;120;118;116;-5;-1.5
Gisborne;Furniture and other manufacturing;36;35;35;34;-2;-1.6
Gisborne;Electricity, gas and water supply;59;52;45;37;-22;-14.2
Gisborne;Construction;1674;1733;1763;1774;100;1.9
Gisborne;Wholesale trade;583;583;584;583;-1;0.0
Gisborne;Retail trade (including motor vehicle repairs);1829;1833;1854;1871;43;0.8
Gisborne;Accommodation, cafes and restaurants;1251;1276;131;134;88;2.3
Gisborne;Transport and storage;790;812;839;863;73;3.0
Gisborne;Communication services;212;212;214;216;4;0.7
